Country,Product CN Code,2026,2027,2028
Algeria,721932,3.63,3.96,4.29
Algeria,721933,3.63,3.96,4.29
Algeria,721934,3.63,3.96,4.29
Algeria,721935,3.63,3.96,4.29
Algeria,721990,3.63,3.96,4.29
Algeria,7220,3.63,3.96,4.29
Algeria,72201100,3.63,3.96,4.29
Algeria,72201200,3.63,3.96,4.29
Algeria,722020,3.63,3.96,4.29
Algeria,722090,3.63,3.96,4.29
Algeria,7221,3.63,3.96,4.29
Algeria,7222,3.63,3.96,4.29
Algeria,722211,3.63,3.96,4.29
Algeria,722219,3.63,3.96,4.29
Algeria,722220,3.63,3.96,4.29
Algeria,722230,3.63,3.96,4.29
Algeria,722240,3.63,3.96,4.29
Algeria,7223,3.63,3.96,4.29
Algeria,722300,3.63,3.96,4.29
Algeria,7224,3.751,4.092,4.433
Algeria,722410,3.751,4.092,4.433
Algeria,72249002,3.751,4.092,4.433
Algeria,72249003,3.751,4.092,4.433
Algeria,72249005,3.751,4.092,4.433
Algeria,72249007,3.751,4.092,4.433
Algeria,72249014,3.751,4.092,4.433
Algeria,72249018,3.751,4.092,4.433
Algeria,72249031,3.751,4.092,4.433
Algeria,72249038,3.751,4.092,4.433
Algeria,72249090,3.751,4.092,4.433
Algeria,7225,4.972,5.424,5.876
Algeria,72251100,4.972,5.424,5.876
Algeria,72251910,3.751,4.092,4.433
Algeria,72251990,3.751,4.092,4.433
Algeria,722530,3.751,4.092,4.433
Algeria,722540,3.751,4.092,4.433
Algeria,722550,3.751,4.092,4.433
Algeria,72259100,3.751,4.092,4.433
Algeria,72259200,3.751,4.092,4.433
Algeria,72259900,3.751,4.092,4.433
Algeria,7226,4.972,5.424,5.876
Algeria,72261100,4.972,5.424,5.876
Algeria,72261910,3.751,4.092,4.433
Algeria,72261980,3.751,4.092,4.433
Algeria,72262000,3.751,4.092,4.433
Algeria,722691,3.751,4.092,4.433
Algeria,72269200,3.751,4.092,4.433
Algeria,722699,3.751,4.092,4.433
Algeria,7227,3.751,4.092,4.433
Algeria,7228,3.751,4.092,4.433
Algeria,72281020,3.751,4.092,4.433
Algeria,72281050,3.751,4.092,4.433
Algeria,72281090,3.751,4.092,4.433
Algeria,722820,3.751,4.092,4.433
Algeria,722830,3.751,4.092,4.433
Algeria,722840,3.751,4.092,4.433
Algeria,722850,3.751,4.092,4.433
Algeria,722860,3.751,4.092,4.433
Algeria,722870,3.751,4.092,4.433
Algeria,72288000,3.751,4.092,4.433
Algeria,7229,3.751,4.092,4.433
Algeria,7301,3.3,3.6,3.9
Algeria,7302,3.509,3.828,4.147
Algeria,7303,3.157,3.444,3.731
Algeria,730300,3.157,3.444,3.731
Algeria,7304,3.63,3.96,4.29
Algeria,73041100,3.63,3.96,4.29
Algeria,730419,3.3,3.6,3.9
Algeria,73042200,3.63,3.96,4.29
Algeria,73042300,3.3,3.6,3.9
Algeria,73042400,3.63,3.96,4.29
Algeria,730429,3.3,3.6,3.9
Algeria,730431,3.3,3.6,3.9
Algeria,730439,3.3,3.6,3.9
Algeria,73044100,3.63,3.96,4.29
Algeria,730449,3.63,3.96,4.29
Algeria,730451,3.201,3.492,3.783
Algeria,730459,3.201,3.492,3.783
Algeria,73049000,3.3,3.6,3.9
Algeria,7305,3.3,3.6,3.9
Algeria,7306,3.96,4.29,4.29
Algeria,73061100,3.63,3.96,4.29
Algeria,73061900,3.3,3.6,3.9
Algeria,73062100,3.63,3.96,4.29
Algeria,73062900,3.3,3.6,3.9
Algeria,73063012,3.3,3.6,3.9
Algeria,73063018,3.3,3.6,3.9
Algeria,73063041,3.3,3.6,3.9
Algeria,73063049,3.3,3.6,3.9
Algeria,73063072,3.3,3.6,3.9
Algeria,73063077,3.3,3.6,3.9
Algeria,73063080,3.3,3.6,3.9
Algeria,73064020,3.63,3.96,4.29
Algeria,73064080,3.63,3.96,4.29
Algeria,73065021,3.223,3.516,3.809
Algeria,73065029,3.223,3.516,3.809
Algeria,73065080,3.223,3.516,3.809
Algeria,73066110,3.63,3.96,4.29
Algeria,73066192,3.3,3.6,3.9
Algeria,73066199,3.3,3.6,3.9
Algeria,73066910,3.63,3.96,4.29
Algeria,73066990,3.3,3.6,3.9
Algeria,73069000,3.3,3.6,3.9
,73069000,,,
Algeria,730711,3.146,3.432,3.718
Algeria,73071910,3.146,3.432,3.718
Algeria,73071990,3.3,3.6,3.9
Algeria,73072100,3.201,3.492,3.783
Algeria,730722,3.201,3.492,3.783
Algeria,730723,3.201,3.492,3.783
Algeria,730729,3.201,3.492,3.783
Algeria,73079100,3.3,3.6,3.9
Algeria,730792,3.3,3.6,3.9
Algeria,730793,3.3,3.6,3.9
Algeria,730799,3.3,3.6,3.9
Algeria,7308,3.322,3.624,3.926
Algeria,7309,3.3,3.6,3.9
Algeria,7310,3.3,3.6,3.9
,7310,,,
Algeria,731100,3.3,3.6,3.9
,731100,,,
Algeria,73181100,3.3,3.6,3.9
Algeria,73181210,3.63,3.96,4.29
Algeria,73181290,3.3,3.6,3.9
Algeria,73181300,3.3,3.6,3.9
Algeria,73181410,3.63,3.96,4.29
Algeria,73181491,3.3,3.6,3.9
Algeria,73181499,3.3,3.6,3.9
Algeria,731815,3.3,3.6,3.9
Algeria,731816,3.3,3.6,3.9
Algeria,73181900,3.3,3.6,3.9
Algeria,73182100,3.3,3.6,3.9
Algeria,73182200,3.3,3.6,3.9
Algeria,73182300,3.3,3.6,3.9
Algeria,73182400,3.3,3.6,3.9
Algeria,73182900,3.3,3.6,3.9
,73182900,,,
Algeria,73261100,3.3,3.6,3.9
Algeria,732619,3.3,3.6,3.9
Algeria,73262000,3.3,3.6,3.9
Algeria,73269030,3.3,3.6,3.9
Algeria,73269040,3.3,3.6,3.9
Algeria,73269050,3.3,3.6,3.9
Algeria,73269060,3.3,3.6,3.9
Algeria,73269092,3.3,3.6,3.9
Algeria,73269094,3.3,3.6,3.9
Algeria,73269096,3.3,3.6,3.9
Algeria,73269098,3.3,3.6,3.9
Angola,25070080,0.275,0.3,0.325
Angola,25231000,,,
Angola,25231000,1.386,1.525,1.677
Angola,25232100,,,
Angola,25232900,1.397,1.537,1.69
Angola,25239000,,,
Angola,25239000,1.342,1.476,1.624
Angola,25233000,,,
Angola,28041000,11.902,12.984,14.066
Angola,26011200,0.678,0.74,0.802
Angola,720211,1.859,2.028,2.197
Angola,720241,2.585,2.82,3.055
Angola,72026000,3.828,4.176,4.524
Argentina,25070080,,,
Argentina,25231000,,,
Argentina,25231000,0.99,1.089,1.198
Argentina,25232100,,,
Argentina,25232900,1.012,1.113,1.225
Argentina,25239000,,,
Argentina,25239000,,,
Argentina,25233000,,,
Argentina,28080000,1.949,1.949,1.949
Argentina,28141000,2.384,2.384,2.384
Argentina,28142000,0.717,0.717,0.717
Argentina,28342100,1.747,1.747,1.747
Argentina,3102,,,
Argentina,31021012,0.535,0.535,0.535
Argentina,31021015,0.869,0.869,0.869
Argentina,31021019,1.616,1.616,1.616
Argentina,31021090,1.586,1.586,1.586
Argentina,31022100,0.727,0.727,0.727
Argentina,31022900,1.263,1.263,1.263
Argentina,31023010,1.333,1.333,1.333
Argentina,31023090,2.06,2.06,2.06
Argentina,31024010,1.778,1.778,1.778
Argentina,31024090,1.778,1.778,1.778
Argentina,31025000,3.05,3.05,3.05
Argentina,31026000,1.727,1.727,1.727
Argentina,31028000,1.434,1.434,1.434
Argentina,31029000,1.576,1.576,1.576
Argentina,3105,,,
Argentina,31051000,0.768,0.768,0.768
Argentina,31052010,0.929,0.929,0.929
Argentina,31052090,0.636,0.636,0.636
Argentina,31053000,0.576,0.576,0.576
Argentina,31054000,0.374,0.374,0.374
Argentina,31055100,1.252,1.252,1.252
Argentina,31055900,0.697,0.697,0.697
Argentina,31059020,1.192,1.192,1.192
Argentina,31059080,0.626,0.626,0.626
Argentina,7601,1.87,2.04,2.21
Argentina,7603,1.991,2.172,2.353
Argentina,76041010,2.233,2.436,2.639
Argentina,76041090,2.255,2.46,2.665
Argentina,76042100,2.255,2.46,2.665
Argentina,76042910,2.233,2.436,2.639
Argentina,76042990,2.255,2.46,2.665
Argentina,7605,2.233,2.436,2.639
Argentina,7606,2.739,2.988,3.237
Argentina,7607,2.739,2.988,3.237
Argentina,7608,2.255,2.46,2.665
Argentina,76090000,2.255,2.46,2.665
Argentina,76101000,2.255,2.46,2.665
Argentina,761090,2.255,2.46,2.665
Argentina,76109010,2.255,2.46,2.665
Argentina,76109090,2.255,2.46,2.665
Argentina,76110000,2.739,2.988,3.237
Argentina,7612,2.739,2.988,3.237
Argentina,76130000,2.739,2.988,3.237
Argentina,7614,2.233,2.436,2.639
Argentina,76161000,2.739,2.988,3.237
Argentina,76169100,2.739,2.988,3.237
Argentina,76169910,1.991,2.172,2.353
Argentina,76169990,2.739,2.988,3.237
Argentina,28041000,11.902,12.984,14.066
Argentina,26011200,0.22,0.24,0.26
Argentina,7201,2.53,2.76,2.99
Argentina,720211,,,
Argentina,720219,,,
Argentina,720241,,,
Argentina,720249,,,
Argentina,72026000,,,
Argentina,7203,1.133,1.236,1.339
Argentina,7205,2.607,2.844,3.081
,7205,,,
Argentina,72061000,2.706,2.952,3.198
Argentina,72069000,2.717,2.964,3.211
,72069000,,,
Argentina,72071111,2.717,2.964,3.211
Argentina,72071114,2.717,2.964,3.211
Argentina,72071116,2.717,2.964,3.211
Argentina,72071190,2.706,2.952,3.198
Argentina,72071210,2.717,2.964,3.211
Argentina,72071290,2.706,2.952,3.198
Argentina,72071912,2.717,2.964,3.211
Argentina,72071919,2.706,2.952,3.198
Argentina,72071980,2.717,2.964,3.211
Argentina,72072011,2.717,2.964,3.211
Argentina,72072015,2.717,2.964,3.211
Argentina,72072017,2.717,2.964,3.211
Argentina,72072019,2.706,2.952,3.198
Argentina,72072032,2.717,2.964,3.211
Argentina,72072039,2.706,2.952,3.198
Argentina,72072052,2.717,2.964,3.211
Argentina,72072059,2.706,2.952,3.198
Argentina,72072080,2.717,2.964,3.211
Argentina,7208,2.849,3.108,3.367
Argentina,7209,2.948,3.216,3.484
Argentina,7210,2.948,3.216,3.484
,7210,,,
Argentina,72111300,2.849,3.108,3.367
Argentina,72111400,2.849,3.108,3.367
Argentina,72111900,2.849,3.108,3.367
Argentina,721123,2.948,3.216,3.484
Argentina,72112900,2.948,3.216,3.484
Argentina,721190,2.948,3.216,3.484
Argentina,7212,2.948,3.216,3.484
Argentina,7213,2.717,2.964,3.211
,7213,,,
Argentina,72141000,2.706,2.952,3.198
Argentina,72142000,2.717,2.964,3.211
Argentina,72143000,2.717,2.964,3.211
Argentina,721491,2.717,2.964,3.211
Argentina,721499,2.717,2.964,3.211
Argentina,7215,2.717,2.964,3.211
Argentina,7216,2.717,2.964,3.211
,7216,,,
Argentina,721710,2.717,2.964,3.211
Argentina,721720,2.717,2.964,3.211
Argentina,721730,2.717,2.964,3.211
Argentina,721790,2.717,2.964,3.211
,721790,,,
Argentina,72181000,3.553,3.876,4.199
Argentina,721891,3.773,4.116,4.459
Argentina,72189911,3.773,4.116,4.459
Argentina,72189919,3.553,3.876,4.199
Argentina,72189920,3.773,4.116,4.459
Argentina,72189980,3.553,3.876,4.199
,72189980,,,
Argentina,72191100,3.773,4.116,4.459
Argentina,721912,3.773,4.116,4.459
Argentina,721913,3.773,4.116,4.459
Argentina,721914,3.773,4.116,4.459
Argentina,721921,3.773,4.116,4.459
Argentina,721922,3.773,4.116,4.459
Argentina,72192300,3.773,4.116,4.459
Argentina,72192400,3.773,4.116,4.459
Argentina,72193100,3.872,4.224,4.576
Argentina,721932,3.872,4.224,4.576
Argentina,721933,3.872,4.224,4.576
Argentina,721934,3.872,4.224,4.576
Argentina,721935,3.872,4.224,4.576
Argentina,721990,3.872,4.224,4.576
,721990,,,
Argentina,72201100,3.773,4.116,4.459
Argentina,72201200,3.773,4.116,4.459
Argentina,722020,3.872,4.224,4.576
Argentina,722090,3.872,4.224,4.576
Argentina,7221,3.553,3.876,4.199
,7221,,,
Argentina,722211,3.553,3.876,4.199
Argentina,722219,3.553,3.876,4.199
Argentina,722220,3.553,3.876,4.199
Argentina,722230,3.553,3.876,4.199
Argentina,722240,3.553,3.876,4.199
,722240,,,
Argentina,722300,3.553,3.876,4.199
,722300,,,
Argentina,722410,3.454,3.768,4.082
Argentina,72249002,3.674,4.008,4.342
Argentina,72249003,3.674,4.008,4.342
Argentina,72249005,3.674,4.008,4.342
Argentina,72249007,3.674,4.008,4.342
Argentina,72249014,3.674,4.008,4.342
Argentina,72249018,3.454,3.768,4.082
Argentina,72249031,3.674,4.008,4.342
Argentina,72249038,3.674,4.008,4.342
Argentina,72249090,3.454,3.768,4.082
,72249090,,,
Argentina,72251100,4.796,5.232,5.668
Argentina,72251910,3.674,4.008,4.342
Argentina,72251990,3.773,4.116,4.459
Argentina,722530,3.674,4.008,4.342
Argentina,722540,3.674,4.008,4.342
Argentina,722550,3.773,4.116,4.459
Argentina,72259100,3.773,4.116,4.459
Argentina,72259200,3.773,4.116,4.459
Argentina,72259900,3.773,4.116,4.459
,72259900,,,
Argentina,72261100,4.796,5.232,5.668
Argentina,72261910,3.674,4.008,4.342
Argentina,72261980,3.773,4.116,4.459
Argentina,72262000,3.674,4.008,4.342
Argentina,722691,3.674,4.008,4.342
Argentina,72269200,3.773,4.116,4.459
Argentina,722699,3.773,4.116,4.459
Argentina,7227,3.454,3.768,4.082
,7227,,,
Argentina,72281020,3.454,3.768,4.082
Argentina,72281050,3.454,3.768,4.082
Argentina,72281090,3.454,3.768,4.082
Argentina,722820,3.454,3.768,4.082
Argentina,722830,3.454,3.768,4.082
Argentina,722840,3.454,3.768,4.082
Argentina,722850,3.454,3.768,4.082
Argentina,722860,3.454,3.768,4.082
Argentina,722870,3.454,3.768,4.082
Argentina,72288000,3.454,3.768,4.082
Argentina,7229,3.454,3.768,4.082
Argentina,7301,2.948,3.216,3.484
Argentina,7302,3.278,3.576,3.874
,7302,,,
Argentina,730300,2.585,2.82,3.055
,730300,,,
Argentina,73041100,3.553,3.876,4.199
Argentina,730419,2.717,2.964,3.211
Argentina,73042200,3.553,3.876,4.199
Argentina,73042300,2.717,2.964,3.211
Argentina,73042400,3.553,3.876,4.199
Argentina,730429,2.717,2.964,3.211
Argentina,730431,2.717,2.964,3.211
Argentina,730439,2.717,2.964,3.211
Argentina,73044100,3.553,3.876,4.199
Argentina,730449,3.553,3.876,4.199
Argentina,730451,2.64,2.88,3.12
Argentina,730459,2.64,2.88,3.12
Argentina,73049000,2.717,2.964,3.211
Argentina,7305,2.948,3.216,3.484
,7305,,,
Argentina,73061100,3.872,4.224,4.576
Argentina,73061900,2.948,3.216,3.484
Argentina,73062100,3.872,4.224,4.576
Argentina,73062900,2.948,3.216,3.484
Argentina,73063012,2.948,3.216,3.484
Argentina,73063018,2.849,3.108,3.367
Argentina,73063041,2.948,3.216,3.484
Argentina,73063049,2.948,3.216,3.484
Argentina,73063072,2.948,3.216,3.484
Argentina,73063077,2.948,3.216,3.484
Argentina,73063080,2.948,3.216,3.484
Argentina,73064020,3.872,4.224,4.576
Argentina,73064080,3.773,4.116,4.459
Argentina,73065021,2.992,3.264,3.536
Argentina,73065029,2.893,3.156,3.419
Argentina,73065080,2.992,3.264,3.536
Argentina,73066110,3.872,4.224,4.576
Argentina,73066192,2.948,3.216,3.484
Argentina,73066199,2.948,3.216,3.484
Argentina,73066910,3.872,4.224,4.576
Argentina,73066990,2.948,3.216,3.484
Argentina,73069000,2.948,3.216,3.484
,73069000,,,
Argentina,730711,2.574,2.808,3.042
Argentina,73071910,2.574,2.808,3.042
Argentina,73071990,2.706,2.952,3.198
Argentina,73072100,2.651,2.892,3.133
Argentina,730722,2.651,2.892,3.133
Argentina,730723,2.651,2.892,3.133
Argentina,730729,2.651,2.892,3.133
Argentina,73079100,2.717,2.964,3.211
Argentina,730792,2.717,2.964,3.211
Argentina,730793,2.717,2.964,3.211
Argentina,730799,2.717,2.964,3.211
Argentina,7308,3.311,3.612,3.913
Argentina,7309,3.311,3.612,3.913
Argentina,7310,2.948,3.216,3.484
,7310,,,
Argentina,731100,2.893,3.156,3.419
,731100,,,
Argentina,73181100,2.717,2.964,3.211
Argentina,73181210,3.553,3.876,4.199
Argentina,73181290,2.717,2.964,3.211
Argentina,73181300,2.717,2.964,3.211
Argentina,73181410,3.553,3.876,4.199
Argentina,73181491,2.717,2.964,3.211
Argentina,73181499,2.717,2.964,3.211
Argentina,731815,2.717,2.964,3.211
Argentina,731816,2.717,2.964,3.211
Argentina,73181900,2.717,2.964,3.211
Argentina,73182100,2.717,2.964,3.211
Argentina,73182200,2.717,2.964,3.211
Argentina,73182300,2.717,2.964,3.211
Argentina,73182400,2.717,2.964,3.211
Argentina,73182900,2.717,2.964,3.211
,73182900,,,
Argentina,73261100,2.706,2.952,3.198
Argentina,732619,2.706,2.952,3.198
Argentina,73262000,2.717,2.964,3.211
Argentina,73269030,2.717,2.964,3.211
Argentina,73269040,2.717,2.964,3.211
Argentina,73269050,2.717,2.964,3.211
Argentina,73269060,2.717,2.964,3.211
Argentina,73269092,2.706,2.952,3.198
Argentina,73269094,2.706,2.952,3.198
Argentina,73269096,2.706,2.952,3.198
Argentina,73269098,2.948,3.216,3.484
Armenia,25070080,,,
Armenia,25231000,,,
Armenia,25231000,1.507,1.644,1.781
Armenia,25232100,,,
Armenia,25232900,1.485,1.62,1.755
Armenia,25239000,,,
Armenia,25239000,1.408,1.536,1.664
Armenia,25233000,,,
Armenia,28080000,2.798,2.798,2.798
Armenia,28141000,,,
Armenia,28142000,0.667,0.667,0.667
Armenia,28342100,2.273,2.273,2.273
Armenia,3102,,,
Armenia,31021012,0.505,0.505,0.505
Armenia,31021015,0.828,0.828,0.828
Armenia,31021019,1.525,1.525,1.525
Armenia,31021090,1.495,1.495,1.495
Armenia,31022100,0.667,0.667,0.667
Armenia,31022900,1.475,1.475,1.475
Armenia,31023010,1.727,1.727,1.727
Armenia,31023090,2.646,2.646,2.646
Armenia,31024010,2.273,2.273,2.273
Armenia,31024090,2.273,2.273,2.273
Armenia,31025000,4.373,4.373,4.373
Armenia,31026000,2.222,2.222,2.222
Armenia,31028000,1.667,1.667,1.667
Armenia,31029000,1.717,1.717,1.717
Armenia,3105,,,
Armenia,31051000,0.859,0.859,0.859
Armenia,31052010,1.131,1.131,1.131
Armenia,31052090,0.768,0.768,0.768
Armenia,31053000,0.535,0.535,0.535
Armenia,31054000,0.343,0.343,0.343
Armenia,31055100,1.555,1.555,1.555
Armenia,31055900,0.657,0.657,0.657
Armenia,31059020,1.495,1.495,1.495
Armenia,31059080,0.778,0.778,0.778
Australia,25070080,,,
Australia,25231000,,,
Australia,25231000,1.562,1.704,1.846
Australia,25232100,,,
Australia,25232900,1.287,1.404,1.521
Australia,25239000,,,
Australia,25239000,1.232,1.344,1.456
Australia,25233000,,,
Australia,28080000,1.434,1.434,1.434
Australia,28141000,1.939,1.939,1.939
Australia,28142000,0.586,0.586,0.586
Australia,28342100,1.333,1.333,1.333
Australia,3102,,,
Australia,31021012,0.455,0.455,0.455
Australia,31021015,0.737,0.737,0.737
Australia,31021019,1.384,1.384,1.384
Australia,31021090,1.353,1.353,1.353
Australia,31022100,0.636,0.636,0.636
Australia,31022900,1.03,1.03,1.03
Australia,31023010,1.04,1.04,1.04
Australia,31023090,1.606,1.606,1.606
Australia,31024010,1.404,1.404,1.404
Australia,31024090,1.404,1.404,1.404
Australia,31025000,2.232,2.232,2.232
Australia,31026000,1.353,1.353,1.353
Australia,31028000,1.151,1.151,1.151
Australia,31029000,1.303,1.303,1.303
Australia,3105,,,
Australia,31051000,0.657,0.657,0.657
Australia,31052010,0.778,0.778,0.778
Australia,31052090,0.545,0.545,0.545
Australia,31053000,0.495,0.495,0.495
Australia,31054000,0.333,0.333,0.333
Australia,31055100,1.04,1.04,1.04
Australia,31055900,0.626,0.626,0.626
Australia,31059020,0.939,0.939,0.939
Australia,31059080,0.505,0.505,0.505
Australia,7601,1.87,2.04,2.21
Australia,7603,1.991,2.172,2.353
Australia,76041010,2.233,2.436,2.639
Australia,76041090,2.255,2.46,2.665
Australia,76042100,2.255,2.46,2.665
Australia,76042910,2.233,2.436,2.639
Australia,76042990,2.255,2.46,2.665
Australia,7605,2.233,2.436,2.639
Australia,7606,2.739,2.988,3.237
Australia,7607,2.739,2.988,3.237
Australia,7608,2.255,2.46,2.665
Australia,76090000,2.255,2.46,2.665
Australia,76101000,2.255,2.46,2.665
Australia,761090,2.255,2.46,2.665
Australia,76109010,2.255,2.46,2.665
Australia,76109090,2.255,2.46,2.665
Australia,76110000,2.739,2.988,3.237
Australia,7612,2.739,2.988,3.237
Australia,76130000,2.739,2.988,3.237
Australia,7614,2.233,2.436,2.639
Australia,76161000,2.739,2.988,3.237
Australia,76169100,2.739,2.988,3.237
Australia,76169910,1.991,2.172,2.353
Australia,76169990,2.739,2.988,3.237
Australia,28041000,11.902,12.984,14.066
Australia,26011200,0.099,0.108,0.117
Australia,7201,3.069,3.348,3.627
